117,"Weapon.CM 505.name","CM 505"
118,"Weapon.1881 Shockfield.description","looks like an 1881"
119,"Weapon.CM 351 Sunflare.name","CM 351 Sunflare"
120,"Weapon.RIA 30 Strikeforce.description",""
121,"Weapon.HVM 004.description",""
122,"Weapon.CM 205.description",""
123,"Weapon.CM 505.description",""
124,"Weapon.Hard Thorn.description","MEP flechettes"
125,"Weapon.Ronson 65-a.name","Ronson 65-a"
126,"Weapon.T-101 Feldhaubitz.description","Huge, heavy two handed cannon, similar shape to a minigun"
127,"Weapon.Ronson LBM.description",""
128,"Weapon.RIA 20 DSC (deep space combat).description",""
129,"Weapon.Ronson 55.description","2 alternating barrels"
130,"Weapon.Stripper.name","Stripper"
131,"Weapon.Mixmaster.name","Mixmaster"
132,"Weapon.1881 Shockfield.name","1881 Shockfield"
133,"Weapon.HVM 008.description",""
134,"Weapon.Sub-light COM2.name","Sub-light COM2"
135,"Weapon.CM Sonic Drill.name","CM Sonic Drill"
136,"Weapon.RIA T7.description",""
137,"Weapon.CM Gigavolt.description",""
138,"Weapon.T-101 Feldhaubitz.name","T-101 Feldhaubitz"
139,"Weapon.CM 451 Starburst.name","CM 451 Starburst"
140,"Weapon.RIA 313.name","RIA 313"
141,"Weapon.Poison Claw.name","Poison Claw"
142,"Weapon.HVM 002.description",""
143,"Weapon.HVM MPG.name","HVM MPG"
144,"Weapon.RIA 7.description",""
145,"Weapon.Ronson LBM.name","Ronson LBM"
146,"Weapon.RIA 20 Striker.name","RIA 20 Striker"
147,"Weapon.Ronson WP Flamethrower.name","Ronson WP Flamethrower"
148,"Weapon.RIA 20 DSC (deep space combat).name","RIA 20 DSC (deep space combat)"
149,"Weapon.HIKS S300.name","HIKS S300"
150,"Weapon.CM 307.description",""
151,"Weapon.HVM 005 G-Class.name","HVM 005 G-Class"
152,"Weapon.Trailblazer.description","Looks like an old Colt revolver "
153,"Weapon.Ronson WP Flamethrower.description",""
154,"Weapon.Hard Thorn.name","Hard Thorn"
155,"Weapon.Stripper.description","molecular acid"
156,"Weapon.Poison Claw.description","molecular acid"
157,"Weapon.T-102 Jagdfaust.name","T-102 Jagdfaust"
158,"Weapon.HIKS S300.description",""
159,"Weapon.CM Sonic Drill.description","blurry blueish straight cone of sonic energy"
160,"Weapon.Sub-light COM2.description",""
161,"Weapon.HVM MPG.description","double barreled"
162,"Weapon.CM 351 Sunflare.description",""
163,"Weapon.CM 401 Planet Stormer.name","CM 401 Planet Stormer"
164,"Weapon.RIA 50.name","RIA 50"
165,"Weapon.Ronson 55.name","Ronson 55"
166,"Weapon.CM 401 Planet Stormer.description",""
167,"Weapon.Trailblazer.name","Trailblazer"
168,"Weapon.RIA 30 Strikeforce.name","RIA 30 Strikeforce"
169,"Weapon.Ronson 45.description",""
170,"Weapon.HVM 001.name","HVM 001"
171,"Weapon.Mixmaster.description","seeking plasma bolts (monsters ghosts ufo book)"
172,"Weapon.HVM 002.name","HVM 002"
173,"Weapon.CM 451 Starburst.description",""
174,"Weapon.CM 202.name","CM 202"
175,"Weapon.RIA T7.name","RIA T7"
176,"Weapon.HVM 001.description",""
177,"Weapon.RIA 20 Para.description",""
178,"Weapon.CM 205.name","CM 205"
179,"Weapon.T-102 Jagdfaust.description",""
180,"Weapon.RIA 313.description",""
181,"Weapon.RIA 50.description",""
182,"Weapon.Gebirgskanone.description","Shoulder mounted rapid fire hydra rocket launcher"
183,"Weapon.Ronson 65-a.description",""
184,"Weapon.HVM 005 G-Class.description",""
185,"Weapon.Ronson 45.name","Ronson 45"
186,"Weapon.Gebirgskanone.name","Gebirgskanone"
187,"Weapon.CM Gigavolt.name","CM Gigavolt"
188,"Weapon.HVM 008.name","HVM 008"
189,"Weapon.CM 202.description",""
190,"Weapon.RIA 20 Striker.description",""
191,"Weapon.CM 307.name","CM 307"
192,"Weapon.RIA 7.name","RIA 7"
193,"Weapon.RIA 20 Para.name","RIA 20 Para"
194,"Weapon.HVM 004.name","HVM 004"
195,"Weapon.1881 Shockfield.name","1881 Shockfield"
196,"Weapon.Sub-light COM2.description",""
197,"Weapon.1881 Shockfield.description","looks like an 1881"
198,"Weapon.HVM 001.description",""
199,"Weapon.turret 6.description","Zeus Exclusion Zone"
200,"Weapon.T-101 Feldhaubitz.name","T-101 Feldhaubitz"
201,"Weapon.Stripper.description","molecular acid"
202,"Weapon.CM Gigavolt.description",""
203,"Weapon.turret 7.name","turret 7"
204,"Weapon.turret 1.name","turret 1"
205,"Weapon.turret 6.name","turret 6"
206,"Weapon.Ronson WP Flamethrower.name","Ronson WP Flamethrower"
207,"Weapon.CM 451 Starburst.name","CM 451 Starburst"
208,"Weapon.RIA 20 DSC (deep space combat).name","RIA 20 DSC (deep space combat)"
209,"Weapon.turret 3.name","turret 3"
210,"Weapon.Trailblazer.name","Trailblazer"
211,"Weapon.CM 505.name","CM 505"
212,"Weapon.RIA 20 DSC (deep space combat).description",""
213,"Weapon.turret 4.name","turret 4"
214,"Weapon.Ronson WP Flamethrower.description",""
215,"Weapon.HVM 005 G-Class.description",""
216,"Weapon.RIA 50.name","RIA 50"
217,"Weapon.CM 205.name","CM 205"
218,"Weapon.CM 202.name","CM 202"
219,"Weapon.CM 205.description",""
220,"Weapon.turret 8.description",""
221,"Weapon.Trailblazer.description","Looks like an old Colt revolver "
222,"Weapon.turret 3.description","heavy shot like sniper, slow"
223,"Weapon.CM 202.description",""
224,"Weapon.HVM 004.description",""
225,"Weapon.RIA 50.description",""
226,"Weapon.T-102 Jagdfaust.description",""
227,"Weapon.Ronson 45.description",""
228,"Weapon.CM 401 Planet Stormer.description",""
229,"Weapon.HIKS S300.name","HIKS S300"
230,"Weapon.T-102 Jagdfaust.name","T-102 Jagdfaust"
231,"Weapon.HVM 002.name","HVM 002"
232,"Weapon.RIA 20 Striker.name","RIA 20 Striker"
233,"Weapon.turret 5.name","turret 5"
234,"Weapon.RIA 20 Striker.description",""
235,"Weapon.HIKS R40 .name","HIKS R40 "
236,"Weapon.CM 451 Starburst.description",""
237,"Weapon.Ronson 45.name","Ronson 45"
238,"Weapon.RIA T7.description",""
239,"Weapon.CM 505.description",""
240,"Weapon.Ronson LBM.description",""
241,"Weapon.RIA 20 Para.description",""
242,"Weapon.Ronson 55.name","Ronson 55"
243,"Weapon.RIA 30 Strikeforce.name","RIA 30 Strikeforce"
244,"Weapon.HVM MPG.description","double barreled"
245,"Weapon.Mixmaster.name","Mixmaster"
246,"Weapon.HVM 008.name","HVM 008"
247,"Weapon.RIA 313.description",""
248,"Weapon.turret 8.name","turret 8"
249,"Weapon.CM 351 Sunflare.description",""
250,"Weapon.HVM 008.description",""
251,"Weapon.Ronson 55.description","2 alternating barrels"
252,"Weapon.Sub-light COM2.name","Sub-light COM2"
253,"Weapon.Ronson 65-a.name","Ronson 65-a"
254,"Weapon.HVM 002.description",""
255,"Weapon.turret 5.description","Ronson flame turret"
256,"Weapon.CM 351 Sunflare.name","CM 351 Sunflare"
257,"Weapon.CM Gigavolt.name","CM Gigavolt"
258,"Weapon.CM Sonic Drill.name","CM Sonic Drill"
259,"Weapon.T-101 Feldhaubitz.description","Huge, heavy two handed cannon, similar shape to a minigun"
260,"Weapon.Gebirgskanone.name","Gebirgskanone"
261,"Weapon.HIKS S300.description",""
262,"Weapon.turret 2.name","turret 2"
263,"Weapon.RIA 313.name","RIA 313"
264,"Weapon.HVM 005 G-Class.name","HVM 005 G-Class"
265,"Weapon.RIA 20 Para.name","RIA 20 Para"
266,"Weapon.HVM MPG.name","HVM MPG"
267,"Weapon.Poison Claw.name","Poison Claw"
268,"Weapon.HIKS R40 .description","Huge cannon that is robotically power assisted"
269,"Weapon.RIA 7.description",""
270,"Weapon.turret 4.description","large seeking missiles"
271,"Weapon.CM 307.name","CM 307"
272,"Weapon.HVM 001.name","HVM 001"
273,"Weapon.RIA 30 Strikeforce.description",""
274,"Weapon.turret 1.description","machine gun"
275,"Weapon.Gebirgskanone.description","Shoulder mounted rapid fire hydra rocket launcher"
276,"Weapon.Ronson 65-a.description",""
277,"Weapon.Ronson LBM.name","Ronson LBM"
278,"Weapon.RIA T7.name","RIA T7"
279,"Weapon.Hard Thorn.name","Hard Thorn"
280,"Weapon.CM 307.description",""
281,"Weapon.turret 2.description","cryo cannon"
282,"Weapon.CM 401 Planet Stormer.name","CM 401 Planet Stormer"
283,"Weapon.Hard Thorn.description","MEP flechettes"
284,"Weapon.RIA 7.name","RIA 7"
285,"Weapon.Stripper.name","Stripper"
286,"Weapon.HVM 004.name","HVM 004"
287,"Weapon.CM Sonic Drill.description","blurry blueish straight cone of sonic energy"
288,"Weapon.Poison Claw.description","molecular acid"
289,"Weapon.Mixmaster.description","seeking plasma bolts (monsters ghosts ufo book)"
290,"Weapon.turret 7.description","Laser cannon blaster thing"
291,"Equipment.New.name","New"
292,"Equipment.New.description",""
293,"Equipment.Graphene Body Suit Top.description","Vital areas reinforced with thicker layers for added protection."
294,"Equipment.HVM Kevlar Vest.description","Standard issue special forces 4th Millenium Body Suit."
295,"Equipment.RAS GTV - 4A.name","RAS GTV - 4A"
296,"Equipment.R8 Huntsman Boots.name","R8 Huntsman Boots"
297,"Equipment.R4 Guardian Vest.name","R4 Guardian Vest"
298,"Equipment.HVM Kevlar Pants.name","HVM Kevlar Pants"
299,"Equipment.R7 Guardian Pants.description","6 Alternating layers of bullet proof and impact resistant material with heat proof mesh results in a flexible but effective piece of armour."
300,"Equipment.RAS GTT - 4A.description","Trousers - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
301,"Equipment.HVM Kevlar Pants.description","Standard issue special forces 4th Millenium Kevlar Pants."
302,"Equipment.RAS SFB - 7A.description","Boots - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
303,"Equipment.R6 Flamejuggler Gloves.description","Flame proof, bullet proof but still flexible and tight fitting."
304,"Equipment.Graphene Boots.description","Graphene lined combat boots. Come in hard or soft sole depending on requirements."
305,"Equipment.RAS SFB - 7A.name","RAS SFB - 7A"
306,"Equipment.Graphene Gloves.description","The protection of heavy body armor with the dexterity and flexibility of bare hands."
307,"Equipment.HVM Combat Boots.description","Standard issue special forces 4th Millenium Combat Boots."
308,"Equipment.Graphene Gloves.name","Graphene Gloves"
309,"Equipment.Graphene Boots.name","Graphene Boots"
310,"Equipment.RAS GTG - 4A.name","RAS GTG - 4A"
311,"Equipment.RAS GTH - 4A.description","Helmet - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
312,"Equipment.Rubicon Power Assist.name","Rubicon Power Assist"
313,"Equipment.RAS GTG - 4A.description","Gloves - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
314,"Equipment.HVM Kevlar Gloves.name","HVM Kevlar Gloves"
315,"Equipment.HVM Kevlar Gloves.description","Standard issue special forces 4th Millenium Gloves."
316,"Equipment.RAS SFH - 7A.name","RAS SFH - 7A"
317,"Equipment.RAS SFG - 7A.description","Gloves - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
318,"Equipment.RAS GTV - 4A.description","Vest - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
319,"Equipment.R8 Huntsman Boots.description","Rated to 1700 Kelvin heat resistance, the wearer could walk through molten steel with minimal foot injury."
320,"Equipment.Graphene Combat Hood.description","Comes equipped with hardened graphene goggles for near perfect unimpeded vision."
321,"Equipment.RAS HTV - 7.description","Heavy Troops Vest - the only armor to be rated full 7 for bullet proofness, explosives, cuts, stabs and impacts. Provides high protection from heat and toxic sources too."
322,"Equipment.Graphene Body Suit Top.name","Graphene Body Suit Top"
323,"Equipment.RAS SFG - 7A.name","RAS SFG - 7A"
324,"Equipment.R1 Interceptor Helm.name","R1 Interceptor Helm"
325,"Equipment.Titan MEM Trooper.description","Titan Mechanically Enhanced Movement nullifies the bulk of this superior leg armour."
326,"Equipment.Titan IDS 01.name","Titan IDS 01"
327,"Equipment.RAS GTT - 4A.name","RAS GTT - 4A"
328,"Equipment.HVM Kevlar Helmet.description","Standard issue special forces 4th Millenium Helmet."
329,"Equipment.Graphene Body Suit Bottom.name","Graphene Body Suit Bottom"
330,"Equipment.HVM Kevlar Vest.name","HVM Kevlar Vest"
331,"Equipment.Graphene Combat Hood.name","Graphene Combat Hood"
332,"Equipment.Titan MEM Trooper.name","Titan MEM Trooper"
333,"Equipment.RAS SFH - 7A.description","Helmet - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
334,"Equipment.RAS SFT - 7A.description","Trousers - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
335,"Equipment.RAS HTV - 7.name","RAS HTV - 7"
336,"Equipment.Titan IRN HUD.description","Iris Responsive Nano Heads Up Display provides zoom and auto target priority assessment."
337,"Equipment.HVM Kevlar Helmet.name","HVM Kevlar Helmet"
338,"Equipment.Graphene Body Suit Bottom.description","Vital areas reinforced with thicker layers for added protection."
339,"Equipment.RAS SFT - 7A.name","RAS SFT - 7A"
340,"Equipment.HVM Combat Boots.name","HVM Combat Boots"
341,"Equipment.RAS GTB - 4A.description","Boots - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
342,"Equipment.Titan Teslashock.name","Titan Teslashock"
343,"Equipment.RAS SFV - 7A.name","RAS SFV - 7A"
344,"Equipment.Titan MEM Sprint.description","Titan Mechanically Enhanced Movement Sprint includes biocalibrated foam allowing for much faster movement."
345,"Equipment.R1 Interceptor Helm.description","Dynamic heat and light reflectivity adjusts to the conditions keeping the wearer comfortable and safe under extreme heat conditions."
346,"Equipment.RAS GTB - 4A.name","RAS GTB - 4A"
347,"Equipment.R6 Flamejuggler Gloves.name","R6 Flamejuggler Gloves"
348,"Equipment.Titan MEM Sprint.name","Titan MEM Sprint"
349,"Equipment.RAS SFV - 7A.description","Vest - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
350,"Equipment.Titan IDS 01.description","Intuitive Dexterity System enables good hand protection and faster reload of weapons."
351,"Equipment.Rubicon Power Assist.description","Power assisted suit allows for faster movement than normal while still providing excellent body armour protection."
352,"Equipment.R4 Guardian Vest.description","8 Alternating layers of bullet proof and impact resistant material with heat proof mesh mean this vest will keep just about anything out."
353,"Equipment.RAS GTH - 4A.name","RAS GTH - 4A"
354,"Equipment.Titan Teslashock.description","Delivers deadly electric charge to anything making physical contact."
355,"Equipment.Titan IRN HUD.name","Titan IRN HUD"
356,"Equipment.R7 Guardian Pants.name","R7 Guardian Pants"
357,"Equipment.Graphene Boots.name","Graphene Boots"
358,"Equipment.R6 Flamejuggler Gloves.name","R6 Flamejuggler Gloves"
359,"Equipment.HVM Kevlar Vest.description","Standard issue special forces 4th Millenium Body Suit."
360,"Equipment.HVM Kevlar Vest.name","HVM Kevlar Vest"
361,"Equipment.Titan IRN HUD.description","Iris Responsive Nano Heads Up Display provides zoom and auto target priority assessment."
362,"Equipment.RAS GTB - 4A.description","Boots - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
363,"Equipment.Rubicon Power Assist.name","Rubicon Power Assist"
364,"Equipment.HVM Combat Boots.description","Standard issue special forces 4th Millenium Combat Boots."
365,"Equipment.Titan MEM Trooper.description","Titan Mechanically Enhanced Movement nullifies the bulk of this superior leg armour."
366,"Equipment.R4 Guardian Vest.description","8 Alternating layers of bullet proof and impact resistant material with heat proof mesh mean this vest will keep just about anything out."
367,"Equipment.R1 Interceptor Helm.name","R1 Interceptor Helm"
368,"Equipment.RAS SFT - 7A.name","RAS SFT - 7A"
369,"Equipment.R4 Guardian Vest.name","R4 Guardian Vest"
370,"Equipment.Graphene Body Suit Bottom.description","Vital areas reinforced with thicker layers for added protection."
371,"Equipment.Titan Teslashock.description","Delivers deadly electric charge to anything making physical contact."
372,"Equipment.RAS SFG - 7A.description","Gloves - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
373,"Equipment.RAS HTV - 7.name","RAS HTV - 7"
374,"Equipment.Graphene Body Suit Top.name","Graphene Body Suit Top"
375,"Equipment.HVM Kevlar Gloves.name","HVM Kevlar Gloves"
376,"Equipment.Graphene Combat Hood.name","Graphene Combat Hood"
377,"Equipment.RAS SFH - 7A.description","Helmet - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
378,"Equipment.RAS GTT - 4A.description","Trousers - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
379,"Equipment.Titan IDS 01.description","Intuitive Dexterity System enables good hand protection and faster reload of weapons."
380,"Equipment.HVM Kevlar Pants.name","HVM Kevlar Pants"
381,"Equipment.HVM Kevlar Helmet.description","Standard issue special forces 4th Millenium Helmet."
382,"Equipment.Graphene Boots.description","Graphene lined combat boots. Come in hard or soft sole depending on requirements."
383,"Equipment.Rubicon Power Assist.description","Power assisted suit allows for faster movement than normal while still providing excellent body armour protection."
384,"Equipment.Titan MEM Sprint.description","Titan Mechanically Enhanced Movement Sprint includes biocalibrated foam allowing for much faster movement."
385,"Equipment.HVM Kevlar Helmet.name","HVM Kevlar Helmet"
386,"Equipment.R6 Flamejuggler Gloves.description","Flame proof, bullet proof but still flexible and tight fitting."
387,"Equipment.R1 Interceptor Helm.description","Dynamic heat and light reflectivity adjusts to the conditions keeping the wearer comfortable and safe under extreme heat conditions."
388,"Equipment.RAS SFB - 7A.name","RAS SFB - 7A"
389,"Equipment.Graphene Body Suit Top.description","Vital areas reinforced with thicker layers for added protection."
390,"Equipment.R7 Guardian Pants.description","6 Alternating layers of bullet proof and impact resistant material with heat proof mesh results in a flexible but effective piece of armour."
391,"Equipment.Titan MEM Trooper.name","Titan MEM Trooper"
392,"Equipment.RAS GTV - 4A.name","RAS GTV - 4A"
393,"Equipment.RAS GTG - 4A.name","RAS GTG - 4A"
394,"Equipment.Titan Teslashock.name","Titan Teslashock"
395,"Equipment.RAS GTB - 4A.name","RAS GTB - 4A"
396,"Equipment.R8 Huntsman Boots.description","Rated to 1700 Kelvin heat resistance, the wearer could walk through molten steel with minimal foot injury."
397,"Equipment.Graphene Gloves.name","Graphene Gloves"
398,"Equipment.Graphene Body Suit Bottom.name","Graphene Body Suit Bottom"
399,"Equipment.RAS GTH - 4A.description","Helmet - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
400,"Equipment.HVM Kevlar Pants.description","Standard issue special forces 4th Millenium Kevlar Pants."
401,"Equipment.RAS SFT - 7A.description","Trousers - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
402,"Equipment.Graphene Gloves.description","The protection of heavy body armor with the dexterity and flexibility of bare hands."
403,"Equipment.RAS GTH - 4A.name","RAS GTH - 4A"
404,"Equipment.RAS SFV - 7A.name","RAS SFV - 7A"
405,"Equipment.RAS SFB - 7A.description","Boots - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
406,"Equipment.Titan IDS 01.name","Titan IDS 01"
407,"Equipment.Titan MEM Sprint.name","Titan MEM Sprint"
408,"Equipment.R8 Huntsman Boots.name","R8 Huntsman Boots"
409,"Equipment.HVM Kevlar Gloves.description","Standard issue special forces 4th Millenium Gloves."
410,"Equipment.HVM Combat Boots.name","HVM Combat Boots"
411,"Equipment.RAS SFH - 7A.name","RAS SFH - 7A"
412,"Equipment.RAS HTV - 7.description","Heavy Troops Vest - the only armor to be rated full 7 for bullet proofness, explosives, cuts, stabs and impacts. Provides high protection from heat and toxic sources too."
413,"Equipment.RAS SFV - 7A.description","Vest - Rated 7A for bullet proofness, explosives, cuts, stabs and impacts. Provides medium level protection from heat and toxic sources too."
414,"Equipment.RAS SFG - 7A.name","RAS SFG - 7A"
415,"Equipment.Titan IRN HUD.name","Titan IRN HUD"
416,"Equipment.RAS GTV - 4A.description","Vest - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
417,"Equipment.RAS GTT - 4A.name","RAS GTT - 4A"
418,"Equipment.R7 Guardian Pants.name","R7 Guardian Pants"
419,"Equipment.Graphene Combat Hood.description","Comes equipped with hardened graphene goggles for near perfect unimpeded vision."
420,"Equipment.RAS GTG - 4A.description","Gloves - Rated 4A for bullet proofness, explosives, cuts, stabs and impacts."
421,"Equipment.New.description",""
422,"Equipment.New.name","New"
423,"Equipment.Graphene Boots.description","Graphene lined combat boots. Come in hard or soft sole depending on requirements."
424,"Equipment.Graphene Body Suit Bottom.name","Graphene Body Suit Bottom"
